Ref,Val,Package,PosX,PosY,Rot,Side
"J1","TSW-103-07-T-S","SAMTEC_TSW-103-07-T-S",-100.409000,4.513000,131.000000,bottom
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-100.972000,11.158000,180.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-100.972000,18.728000,180.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-100.972000,26.304000,180.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-100.972000,33.877000,180.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-96.770000,41.452000,180.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-93.501000,3.576000,180.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-93.501000,11.158000,180.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-93.501000,18.728000,180.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-93.501000,26.304000,180.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-93.501000,33.877000,180.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-89.299000,41.452000,180.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-86.030000,3.576000,180.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-86.030000,11.158000,180.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-86.030000,18.728000,180.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-86.030000,26.304000,180.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-86.030000,33.877000,180.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-81.830000,41.452000,180.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-78.559000,3.576000,180.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-78.559000,11.158000,180.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-78.559000,18.728000,180.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-78.559000,26.304000,180.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-78.559000,33.877000,180.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-71.088000,3.576000,180.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-71.088000,11.158000,180.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-71.088000,18.728000,180.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-71.088000,26.304000,180.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-63.617000,3.576000,180.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-63.617000,11.158000,180.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-63.617000,18.728000,180.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-63.617000,26.304000,180.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-56.146000,3.576000,180.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-56.146000,11.158000,180.000000,top
"D33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-56.146000,18.728000,180.000000,top
"D34","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-56.146000,26.304000,180.000000,top
"D35","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-48.675000,3.576000,180.000000,top
"D36","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-48.675000,11.158000,180.000000,top
"D37","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-48.675000,18.728000,180.000000,top
"D38","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-48.675000,26.304000,180.000000,top
"D39","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-41.204000,3.576000,180.000000,top
"D40","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-41.204000,11.158000,180.000000,top
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-41.204000,18.728000,180.000000,top
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-41.204000,26.304000,180.000000,top
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.733000,3.576000,180.000000,top
"D44","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.733000,11.158000,180.000000,top
"D45","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.733000,18.728000,180.000000,top
"D46","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.733000,26.304000,180.000000,top
"D47","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-26.262000,3.576000,180.000000,top
"D48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-26.262000,11.158000,180.000000,top
"D49","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-26.262000,18.728000,180.000000,top
"D50","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-26.262000,26.304000,180.000000,top
"D51","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-18.791000,3.576000,180.000000,top
"D52","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-18.791000,11.158000,180.000000,top
"D53","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-18.791000,18.728000,180.000000,top
"D54","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-18.791000,26.304000,180.000000,top
"D55","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-11.320000,3.576000,180.000000,top
"D56","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-11.320000,11.158000,180.000000,top
"D57","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-11.320000,18.728000,180.000000,top
"D58","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-11.320000,26.304000,180.000000,top
"D59","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-3.849000,3.576000,180.000000,top
"D60","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-3.849000,11.158000,180.000000,top
"D61","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-3.849000,18.728000,180.000000,top
"D62","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-3.849000,26.304000,180.000000,top
"D63","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",3.622000,3.576000,180.000000,top
"D64","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",3.622000,11.158000,180.000000,top
"D65","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",3.622000,18.728000,180.000000,top
"D66","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",3.622000,26.304000,180.000000,top
"D67","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",11.093000,3.576000,180.000000,top
"D68","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",11.093000,11.158000,180.000000,top
"D69","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",11.093000,18.728000,180.000000,top
"D70","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",11.093000,26.304000,180.000000,top
"D71","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",18.564000,3.576000,180.000000,top
"D72","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",18.564000,11.158000,180.000000,top
"D73","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",18.564000,18.728000,180.000000,top
